Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
506,Country,Switzerland,101,06/12/1925,"Constitutional amendment on disability, old age-, widows- and orphans insurance",Bundesbeschluss betreffend die Alters-  Hinterlassenen- und Invalidenversicherung,Arrêté fédéral concernant l'assurance en cas de vieillesse l'assurance des survivants et l'assurance en cas d'invalidité,Decreto federale concernente 'l'assicurazione per la vecchiaia e per i superstiti e contro l'invalidità',,,,,,,,,,,,None,1019522,0,643066,12809,1786,410988,217483,16.5,5.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Pension insurance | Indirect taxation | none,63.08,628471,65.39,34.61,yes,
507,Country,Switzerland,100,25/10/1925,Constitutional amendment on temporary and permanent residence rights of foreigners,Bundesbeschluss betreffend Aufenthalt und Niederlassung der Ausländer,Arrêté fédéral concernant le séjour et l'établissement des étrangers,Decreto federale concernente la dimora e il domicilio degli stranieri,,,,,,,,,,,,None,1017692,0,691544,71838,5053,382381,232272,18.5,3.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Immigration policy | none | none,67.94,614653,62.21,37.79,yes,
508,Country,Switzerland,99,24/05/1925,"""Disability, old age-, widows- and orphans insurance""",Eidgenössische Volksinitiative 'für eine Invaliditäts-  Alters- und Hinterlassenenversicherung' (AHV),Initiative populaire fédérale visant l'insertion dans la constitution fédérale d'un article 34quater (création d'un fonds pour l'assurance-invalidité vieillesse et survivants),Iniziativa popolare per l'assicurazione invalidità vecchiaia e superstiti (Iniziativa Rothenberger),,,,,,,,,,,,None,1008865,0,688402,13577,2169,282527,390129,6,16,none,,,0,,0,Initiative (Formulated Draft),78990,,Sozialdemokratische ParteiParti socialiste suisse,,Pension insurance | Direct taxation | none,68.23,672656,42,58,no,
509,Country,Switzerland,98,17/02/1924,Constitutional amendment on the factory law,Bundesgesetz betreffend Abänderung von Art. 41 des Fabrikgesetzes vom 18. Juni 1914 / 27. Juni 1919,Loi fédérale modifiant l'art. 41 de la loi sur les fabriques,Legge federale che 'modifica l'art. 41 della legge sulle fabbriche del 18 giugno 1914/27 giugno 1919,,,,,,,,,,,,None,995663,0,766505,7676,1981,320668,436180,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),202224,,,,Short-term economic policy | Working hours | none,76.98,756848,42.37,57.63,no,
510,Country,Switzerland,97,03/06/1923,Constitutional amendment on alcoholic beverages,Bundesbeschluss betreffend die Revision der Art. 31 und 32bis (Alkoholwesen) der Bundesverfassung,Arrêté fédéral concernant la revision des articles 31 et 32bis (régime des alcools) de la Constitution fédérale,Decreto federale concernente 'la revisione delle disposizioni della Costituzione federale sulle bevande spiritose e distillate',,,,,,,,,,,,None,985774,0,636591,11931,1575,262688,360397,10,12,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Addictive substances | Indirect taxation | Pension insurance,64.58,623085,42.16,57.84,no,
511,Country,Switzerland,96,15/04/1923,"""Maintaining and protecting the people's rights in customs matters""",Eidgenössische Volksinitiative 'zur Wahrung der Volksrechte in der Zollfrage',Initiative populaire fédérale «Pour la garantie des droits populaires dans la question douanière»,Iniziativa popolare 'per la garanzia dei diritti popolari in materia doganale',,,,,,,,,,,,None,990202,0,651159,10813,1450,171020,467876,0.5,21.5,none,,,0,,0,Initiative (Formulated Draft),151321,,Sozialdemokratische Partei  COOP und VSKParti socialiste suisse,,Customs | Referendum | none,65.76,638896,26.77,73.23,no,
512,Country,Switzerland,94,18/02/1923,"""Preventive detention"" (Swiss citizens endangering internal security)""",Eidgenössische Volksinitiative 'Schutzhaft',Initiative populaire fédérales sur «L'arrestation des citoyens suisses qui compromettent la sûreté intérieure du pays»,Iniziativa popolare concernente 'l'arresto dei cittadini svizzeri che minacciano la sicurezza interna del paese',,,,,,,,,,,,None,989661,0,526876,25109,1016,55145,445606,,22,none,,,0,,0,Initiative (Formulated Draft),62323,,Ad-hoc-Komitee gegen den BolschewismusComité ad-hoc,,State security | Fundamental rights | Criminal law,53.24,500751,11.01,88.99,no,
513,Country,Switzerland,95,18/02/1923,"Treaty between Switzerland and France over trade relations and border traffic between the previous free trade zones of Haute-Savoie, the Pays de Gex and the neighbouring Swiss cantons",Bundesbeschluss über die Ratifikation des am 7. August 1921 in Paris unterzeichneten Abkommens zwischen der Schweiz und Frankreich zur Regelung der Handelsbeziehungen und des freundnachbarlichen Grenzverkehrs zwischen den ehemaligen Freizonen Hochsavoyens sowie der Landschaft Gex und den angrenzenden schweizerischen Kantonen,Arrêté fédéral ratifiant la Convention entre la Suisse et la France réglant les relations de commerce et de bon voisinage entre les anciennes zones franches de la Haute-Savoie et du Pays de Gex et les cantons suisses limitrophes signée à Paris le 7 août 1921,Decreto federale che ratifica la Convenzione fra la Svizzera e la Francia che regola le relazioni di commercio e di buon vicinato tra le antiche zone franche dell'Alta Savoia e del Paese di Gex e i Cantoni svizzeri limitrofi firmata a Parigi il 7 agosto 1921,,,,,,,,,,,,None,989661,0,528736,19515,1024,93892,414305,,,none,,,0,,0,Optional Treaty Referendum (for an unlimited period or duration >15 years),56457,,,,Foreign trade policy | Bilateral treaties | none,53.43,508197,18.48,81.52,no,
514,Country,Switzerland,93,03/12/1922,"""For a one-off wealth tax""",Eidgenössische Volksinitiative 'für die Einmalige Vermögensabgabe',Initiative populaire fédérale concernant le prélèvement d'un impôt unique sur la fortune,Iniziativa popoplare per 'la riscossione una volta tanto di un prelevamento sul patrimonio',,,,,,,,,,,,None,992523,0,856148,7525,1969,109702,736952,,22,none,,,0,,0,Initiative (Formulated Draft),87535,,Sozialdemokratische ParteiParti socialiste suisse,,Direct taxation | Budget cuts and remediation measures | Social security,86.29,846654,12.96,87.04,no,
515,Country,Switzerland,92,24/09/1922,Penal code amendment on breaches of constitutional order and internal security and introduction of the conditional execution of sentence,Bundesgesetz betreffend Abänderung des Bundesstrafrechts vom 4. Februar 1853 in bezug auf Verbrechen gegen die verfassungsmässige Ordnung und innere Sicherheit und in bezug auf die Einführung des bedingten Strafvollzugs,Loi fédérale modifiant le code pénal fédéral du 4 février 1853 en ce qui concerne les crimes et délits contre l'ordre constitutionnel et la sûreté intérieure et introduisant le sursis à l'exécution de la peine,Legge federale che modifica il Codice penale federale del 4 febbraio 1853 per quanto concerne i delitti contro l'ordine costituzionale e la sicurezza interna e introduce la sospensione condizionata della pena,,,,,,,,,,,,None,982567,0,690844,8058,2160,303794,376832,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),149954,,,See Wikipedia entry on Lex Häberlin.,Criminal law | State security | Fundamental rights,70.3,680626,44.63,55.37,no,
516,Country,Switzerland,89,11/06/1922,"""Naturalisation (Part I)""",Eidgenössische Volksinitiative 'betreffend die Erlangung des Schweizerbürgerrechts  Teil I',Initiative populaire fédérale concernant les naturalisations (partie I),Iniziativa popolare concernente le 'naturalizzazioni part. I',,,,,,,,,,,,None,976105,0,445100,30259,1025,65828,347988,,22,none,,,0,,0,Initiative (Formulated Draft),59812,,Ad-hoc-Komitee aus Republikanern des Kantons AG  der Neuen Helvetischen Gesellschaft  'Pilori' und 'Schweizerbanner',,Immigration policy | Citizenship | none,45.59,413816,15.91,84.09,no,
517,Country,Switzerland,90,11/06/1922,"""Expulsion of foreigners (Part II)""",Eidgenössische Volksinitiative 'betreffend die Ausweisung von Ausländern  Teil II',Initiative populaire fédérale concernant «L'expulsion pour atteinte à la sécurité du pays» (partie II),Iniziativa popolare concernente 'l'espulsione per atti che mettono in pericolo la sicurezza del paese part. II',,,,,,,,,,,,None,976105,0,445100,25991,1028,159200,258881,,22,none,,,0,,0,Initiative (Formulated Draft),59812,,Ad-hoc-Komitee aus Republikanern des Kantons AG  der Neuen Helvetischen Gesellschaft  'Pilori' und 'Schweizerbanner',,Immigration policy | State security | none,45.59,418081,38.08,61.92,no,
518,Country,Switzerland,91,11/06/1922,"""Eligibility of civil servants for the House of Representatives""",Eidgenössische Volksinitiative 'betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat',Initiative populaire fédérale sur «L'éligibilité des fonctionnaires fédéraux au Conseil national»,Iniziativa popolare concernente 'l'eleggibilità dei funzionari federali al Consiglio Nazionale',,,,,,,,,,,,None,976105,0,445100,26433,1017,160181,257469,5,17,none,,,0,,0,Initiative (Formulated Draft),57139,,Foederativverband,,"Parliament | Government, administration | Electoral system",45.59,417650,38.35,61.65,no,
519,Country,Switzerland,87,22/05/1921,Constitutional amendment on automobile and bicycle traffic,Bundesbeschluss betreffend Aufnahme eines Art. 37bis und eines Art. 37ter in die Bundesverfassung (Automobil und Fahrradverkehr  Luftschiffahrt),Arrêté fédéral concernant l'insertion dans la constitution fédérale d'un art.37bis (circulation des automobiles et des cycles),Decreto federale sull'inserimento d'un articolo 37bis nella Costituzione federale (circolazione degli automobili e velocipedi),,,,,,,,,,,,None,969522,0,373921,27957,791,206297,138876,15.5,6.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Road transport | Intergovernmental relations | none,38.56,345173,59.77,40.23,yes,
520,Country,Switzerland,88,22/05/1921,Constitutional amendment on aeronautic traffic,Bundesbeschluss betreffend Aufnahme eines Artikels 37ter (Luftschiffahrt) in die Bundesverfassung,Arrêté fédéral concernant l'insertion dans la constitution fédérale d'un art.37ter (navigation aérienne),Decreto federale sull'inserimento d'un articolo 37ter nella Costituzione federale (navigazione aerea),,,,,,,,,,,,None,969522,0,372187,32859,938,210447,127943,20.5,1.5,none,,,0,,0,Constitutional Referendum (Partialrevision),,,,,Air transport | Intergovernmental relations | none,38.38,338390,62.19,37.81,yes,
521,Country,Switzerland,85,30/01/1921,"""For the introduction of a referendum on treaties with unlimited duration or with a duration of more than 15 years (Referendum on international treaties)""",Eidgenössische Volksinitiative 'für die Unterstellung von unbefristeten oder für eine Dauer von mehr als 15 Jahren abgeschlossenen Staatsverträgen unter das Referendum (Staatsvertragsreferendum)',Initiative populaire fédérale concernant la «Soumission de traités internationaux au référendum»,Iniziativa popolare 'per sottoporre al referendum i trattati internazionali',,,,,,,,,,,,None,967289,0,610411,48783,3076,398548,160004,20,2,none,,,0,,0,Initiative (Formulated Draft),64391,,Waadtländer-Komitee gegen den Gotthardvertrag.,,Referendum | Position on foreign policy | none,63.11,558542,71.35,28.65,yes,
522,Country,Switzerland,86,30/01/1921,"""Abolition of military courts""",Eidgenössische Volksinitiative 'für die Aufhebung der Militärjustiz',Initiative populaire fédérale «Suppression de la justice millitaire»,Iniziativa popolare 'per la soppressione della giustizia militare',,,,,,,,,,,,None,967289,0,610411,15837,2727,198696,393151,3,19,none,,,0,,0,Initiative (Formulated Draft),118996,,Sozialdemokratische ParteiParti socialiste suisse,,Armed forces - general | Criminal law | none,63.11,591847,33.57,66.43,no,
523,Country,Switzerland,84,31/10/1920,Law on working hours for railways and other public transport,Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten,Loi fédérale concernant la durée du travail dans l'exploitation des chemins de fer et autres entreprises de transport et de communications,Legge federale sulla durata del lavoro nell'esercizio delle strade ferrate ed altre imprese di trasporto e di communicazione,,,,,,,,,,,,Acceptance,964587,0,656913,8618,1487,369466,277342,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),59808,,,,"Working hours | none | Government, administration",68.09,646808,57.12,42.88,yes,
524,Country,Switzerland,83,16/05/1920,Constitutional amendment on accession of Switzerland to the League of Nations,Bundesbeschluss betreffend den Beitritt der Schweiz zum Völkerbund,Arrêté fédéral concernant l'accession de la Suisse à la Société des Nations,Decreto federale concernente l'ingresso della Svizzera nella Società delle Nazioni,,,,,,,,,,,,None,968327,0,750159,6502,4039,416870,323719,11.5,10.5,none,,,0,,0,Customary Mandatory Treaty Referendum (Extraordinary),0,,,,International organisations | none | none,77.47,740589,56.29,43.71,yes,
525,Country,Switzerland,82,21/03/1920,"Counter-proposal to the people's initiative ""Ban on the setting up casinos""",Gegenvorschlag zur eidgenössischen Volksinitiative für ein Verbot der Errichtung von Spielbanken,Contre-projet à l'initiative populaire fédérale concernant l'interdiction des maisons de jeu,Controprogetto all'iniziativa popolare per un 'divieto di istituire case di giuoco',,,,,,,,,,,,None,957386,0,576656,23138,45538,122240,345327,0.5,21.5,linked,"Citizen's initiative ""Prohibition on the setting up of casinos""",,0,,0,Constitutional Referendum (Counter-draft),117494,,Ad-hoc-KomiteeComité ad-hoc,Les bulletins rentrés auxquels s'ajoutent les suffrages blancs et les suffrages nuls donnent un total de 507?980. Selon l'article 12 de la loi fédérale du 27 janvier 1892 concernant le mode de procéder pour les demandes d'initiative populaire et les votations relatives à la révision de la constitution fédérale  les suffrages qui acceptaient aussi bien l?initiative que le contre-projet étaient déclarés nuls. Voir aussi le rapport complémentaire du Conseil fédéral à l'Assemblée fédérale du 14 juin 1920  FF 1920 III 595. Il manque les données concernant les suffrages valables sans réponse (suffrages qui ne portent pas de réponse à la proposition en question [initiative ou contre-projet] mais qui ont donné une réponse à la solution de rechange. Ils ne valent donc pas comme suffrages blancs). Suffrages sans réponse: initiative = 17?239  contre-projet = 74?848 (suffrages entrant en considération: suffrages oui + non). Voir aussi à ce sujet FF 1984 II 408s. La procédure de vote relative aux initiatives populaires accompagnées d'un contre-projet exigea  dans ce premier cas d?application  trois tentatives pour valider les résultats de la votation (cf. FF 1920 II 425s. III 595s.  IV 289s). La validation nécessita une année entière et à chaque rapport de validation  c'est de nouveaux chiffres qui ont été retenus. C'est finalement l?initiative qui a été déclarée comme ayant été acceptée malgré le contre-projet et cela par 'au moins' 271:947 oui contre 241:441 non ainsi que par 11 2/2 cantons contre 8 4/2. (FF 1984 II 408).,Structural policy | Lottery and gambling | none,60.22,499143,26.14,73.86,no,
526,Country,Switzerland,81,21/03/1920,Law on regulating working conditions,Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses,Loi fédérale portant réglementation des conditions de travail,Legge federale che regola le condizioni di lavoro,,,,,,,,,,,,None,957389,0,577247,36755,30396,254455,256401,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),60093,,,,Industrial relations | Employment policy | none,60.29,510856,49.81,50.19,no,
527,Country,Switzerland,82,21/03/1920,Constitutional amendment ban on opening casinos,Bundesbeschluss über die Volksinitiative 'für ein Verbot der Errichtung von Spielbanken',Arrêté fédéral concernant l'initiative populaire fédérale pour la modification de l'article 35 de la constitution fédérale (interdiction des maisons de jeux) (initiative et contre-projet),Decreto federale sull'iniziativa popolare per un 'divieto di istituire case di giuoco'(iniziativa e controprogetto),,,,,,,,,,,,None,957386,0,576656,23138,45538,276021,223122,14,8,linked,"Counter proposal to the citizen's initiative ""Prohibition on the setting up of casinos""",,0,,0,Initiative (Formulated Draft),117494,,Ad-hoc-KomiteeComité ad-hoc,,Structural policy | Lottery and gambling | none,60.22,499143,55.3,44.7,yes,yes
528,Country,Switzerland,80,10/08/1919,Constitutional amendment on temporary rules for election to the cabinet and the House of Representatives,Bundesbeschluss betreffend die Aufnahme von Uebergangsbestimmungen zu Art. 73 der Bundesverfassung,Arrêté fédéral concernant l'adoption de dispositions transistoires pour l'application de l'article 73 de la constitution fédérale,Decreto federale concernente l'aggiunta di disposizioni transitorie per l'articolo 73 della Costituzione federale (elezione der Consiglio nazionale e del Consiglio federale),,,,,,,,,,,,None,931523,0,305795,19708,6710,200008,79369,21.5,0.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Parliament | Government, administration | Electoral system",32.83,279377,71.59,28.41,yes,
529,Country,Switzerland,78,04/05/1919,Constitutional amendment on traffic on lakes and rivers,Bundesbeschluss betreffend Aufnahme eines Art. 24ter in die Bundesverfassung (Schiffahrt),Arrêté fédéral concernant l'insertion d'un article 24ter dans la constitution fédérale (navigation),Decreto federale che inserisce un articolo 24ter nella Costituzione federale (navigazione),,,,,,,,,,,,None,937257,0,505121,19329,8401,399131,78260,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Shipping | Intergovernmental relations | none,53.88,477391,83.61,16.39,yes,
530,Country,Switzerland,79,04/05/1919,Constitutional amendment on introduction of extraordinary war tax,Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung über die Erhebung einer neuen ausserordentlichen Kriegssteuer,Arrêté fédéral concernant l'adoption d'un article constitutionnel relatif à la perception d'un nouvel impôt de guerre extraordinaire,Decreto federale su un articolo costituzionale per la riscossione d'una nuova imposta straordinaria di guerra,,,,,,,,,,,,None,937257,0,503914,20920,10347,307528,165119,20,2,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Direct taxation | Budget cuts and remediation measures | Armed forces - general,53.75,472647,65.07,34.93,yes,
531,Country,Switzerland,77,13/10/1918,"""Proportional election of the House of Representatives""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire fédérale tendant à l'application du système proportionnel aux élections du Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,,,,,,None,936336,0,463302,8892,5825,299550,149035,19.5,2.5,none,,,0,,0,Initiative (Formulated Draft),122631,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,49.47,448587,66.78,33.22,yes,
532,Country,Switzerland,76,02/06/1918,"""Introduction of a direct federal tax""",Eidgenössische Volksinitiative 'für die Einführung der direkten Bundessteuer',Initiative populaire pour l'insertion dans la constitution fédérale d'un article 41bis et la modification de l'article 42 lettre f de cette constitution (introduction de l'impôt fédéral direct),Iniziativa popolare per l'introduzione dell'imposta federale diretta,,,,,,,,,,,,None,936096,0,612171,4332,5290,276735,325814,7.5,14.5,none,,,0,,0,Initiative (Formulated Draft),116864,,Sozialdemokratische ParteiParti socialiste suisse,,Direct taxation | none | none,65.4,602549,45.93,54.07,no,
533,Country,Switzerland,75,13/05/1917,Constitutional amendment on stamp duty,Bundesbeschluss betreffend die Einfügung eines Art. 41bis und eines Artikels 42  lit.g  in die Bundesverfasssung (Stempelabgaben),Arrêté fédéral portant insertion dans la constitution fédérale d'un article 41bis et d'un nouvel alinéa de l'article 42 sous lettre g (droit de timbre),Decreto federale sull'inserimento di un'articolo 41bis e sulla modificazione dell'articolo 42 della Costituzione federale (tasse di bollo),,,,,,,,,,,,None,894177,0,376063,11994,6092,190288,167689,14.5,7.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Indirect taxation | Budget cuts and remediation measures | Armed forces - general,42.06,357977,53.16,46.84,yes,
534,Country,Switzerland,74,06/06/1915,Constitutional amendment on introduction of a non-recurring war tax,Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung zur Erhebung einer einmaligen Kriegssteuer,Arrêté fédéral concernant l'adoption d'un article constitutionnel en vue de la perception d'un impôt de guerre non renouvelable,Decreto federale sulla riscossione d'una imposta unica di guerra,,,,,,,,,,,,None,871476,0,488167,5646,2943,452117,27461,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Direct taxation | Budget cuts and remediation measures | Armed forces - general,56.02,479578,94.27,5.73,yes,
535,Country,Switzerland,73,25/10/1914,Constitutional amendment on administrative and disciplinary jurisdiction of the federal authorities,Bundesbeschluss betreffend Revision von Art. 103 der Bundesverfassung und Aufnahme eines Artikels 114bis in die Bundesverfassung,Arrêté fédéral concernant la revision de l'article 103 de la constitution fédérale et l'adjonction d'un article 114bis à la constitution fédérale,Decreto federale sull'inserimento d'un articolo 114bis e sulla modificazione dell'articolo 103 della Costituzione federale (giurisdizione amministrativa e disciplinare della Confederazione),,,,,,,,,,,,None,851082,0,374977,33104,14048,204394,123431,18,4,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Courts | Government, administration | none",44.06,327825,62.35,37.65,yes,
536,Country,Switzerland,72,04/05/1913,Constitutional amendment on control of human and animal diseases,Bundesbeschluss betreffend Revision der Artikel 69 und 31  2.Absatz  lit.d  der Bundesverfassung (Bekämpfung menschlicher und tierischer Krankheiten),Arrêté fédéral modifiant les articles 69 et 31 2e alinéa lettre d de la constitution fédérale (lutte contre les maladies de l'homme et des animaux),Decreto federale che modifica gli articoli 69 e 31 capoverso 2 della Costituzione federale (lotta contro le malattie dell'uomo e degli animali),,,,,,,,,,,,None,844175,0,304206,16409,7622,169012,111163,16.5,4.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Health policy | Intergovernmental relations | none,36.04,280175,60.32,39.68,yes,
537,Country,Switzerland,71,04/02/1912,Law on health and accident insurance,Bundesgesetz über die Kranken- und Unfallversicherung,Loi fédérale sur l'assurance en cas de maladie et d'accidents,Legge federale sull'assicurazione contro le malattie e gli infortuni,,,,,,,,,,,,None,839212,0,539273,6735,3557,287565,241416,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),75930,,,,Health and accident insurance | none | none,64.26,528982,54.36,45.64,yes,
538,Country,Switzerland,70,23/10/1910,"""Proportional election of the House of Representatives""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire fédérale tendant à appliquer le système proportionnel aux élections pour le Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,,,,,,None,823679,0,513534,6064,1971,240305,265194,12,10,none,,,0,,0,Initiative (Formulated Draft),142263,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,62.34,505499,47.54,52.46,no,
539,Country,Switzerland,69,25/10/1908,Constitutional amendment on exploiting water power and the transmission and use of electrical energy,Bundesbeschluss  betreffend die Gesetzgebung des Bundes über die Nutzbarmachung der Wasserkräfte und über die Fortleitung und die Abgabe der elektrischen Energie (Gegenentwurf: Aufnahme eines Zusatzartikels 24bis in die Bundesverfassung),Arrêté fédéral concernant la législation fédérale sur l'utilisation des forces hydrauliques le transport et la distribution de l'énergie électrique (contre-projet: introduction dans la constitution fédérale d'un article 24bis),Decreto federale concernente la legislazione sulle forze idrauliche (controprogetto: inserimento d'un articolo 24bis nella Costituzione federale),,,,,,,,,,,,None,809406,0,390834,14360,15314,304923,56237,21.5,0.5,none,,,0,,0,Constitutional Referendum (Counter-draft),95290,,Gesellschaft Freiland,,Hydro-electric power | none | none,48.27,361160,84.43,15.57,yes,
540,Country,Switzerland,67,05/07/1908,Constitutional amendment on the right to legislate on trade,Bundesbeschluss betreffend Ergänzung der Bundesverfassung bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,Arrêté fédéral complétant la constitution fédérale en ce qui concerne le droit de légiférer en matière d'arts et métiers,Decreto federale sull'inserimento d'un articolo 34ter nella Costituzione federale (legislazione sulle arti e i mestieri),,,,,,,,,,,,None,809545,0,394272,67405,1849,232457,92561,21.5,0.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Economic policy | none | none,48.7,325018,71.52,28.48,yes,
541,Country,Switzerland,68,05/07/1908,"""Ban on absinthe""",Eidgenössische Volksinitiative 'für ein Absinthverbot',Initiative populaire fédérale concernant l'interdiction de l'absinthe,Iniziativa popolare per un divieto dell'assenzio,,,,,,,,,,,,None,809545,0,399217,15451,4019,241078,138669,20,2,none,,,0,,0,Initiative (Formulated Draft),167814,,Zentralstelle zur Bekämpfung des Alkoholismus,,Addictive substances | none | none,49.31,379747,63.48,36.52,yes,
542,Country,Switzerland,66,03/11/1907,Military organisation in Switzerland,Militärorganisation der schweizerischen Eidgenossenschaft,Organisation militaire de la Confédération suisse,Organizzazione militare della Confederazione Svizzera,,,,,,,,,,,,None,808916,0,603931,3566,2807,329953,267605,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),89094,,,,Military organisation | none | none,74.66,597558,55.22,44.78,yes,
543,Country,Switzerland,65,10/06/1906,Law on trading with foodstuffs and other consumer goods,Bundesgesetz betreffend den Verkehr mit Lebensmitteln und Gebrauchsgegenständen,Loi fédérale sur le commerce des denrées alimentaires et de divers objets usuels,Legge federale sul commercio delle derrate alimentari e degli oggetti d'uso e consumo,,,,,,,,,,,,None,784769,0,403417,9363,1897,245397,146760,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),57354,,,,Consumer protection | Intergovernmental relations | Health policy,51.4,392157,62.58,37.42,yes,
544,Country,Switzerland,64,19/03/1905,Constitutional amendment on extension of patent rights,Bundesbeschluss betreffend Revision des Art. 64 der Bundesverfassung (Ausdehnung des Erfinderschutzes),Arrêté fédéral concernant la révision de l'article 64 de la constitution fédérale (extension de la protection des inventions),Decreto federale che modifica l'articolo 64 della Costituzione federale (estensione della protezione delle invenzioni),,,,,,,,,,,,None,776394,0,310905,23452,4331,199187,83935,21.5,0.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Competition policy | none | none,40.04,283122,70.35,29.65,yes,
545,Country,Switzerland,61,25/10/1903,Amendment to criminal law (Military insubordination),Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853,Loi fédérale complétant le code pénal fédéral du 4 février 1853,Legge federale completiva del Codice penale federale (Art. 48bis incitazione dei militari all'insubordinazione),,,,,,,,,,,,None,768105,0,408885,15099,12007,117694,264085,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),64990,,,,Armed forces - general | Criminal law | Freedom of the media,53.22,381779,30.83,69.17,no,
546,Country,Switzerland,62,25/10/1903,"""Election of the House of Representatives based on the number of the Swiss resident population""",Eidgenössische Volksinitiative 'für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung',Initiative populaire concernant la révision de l'article 72 de la constitution fédérale (élection du Conseil national basée sur la population de nationalité suisse),Iniziativa popolare per' l'elezione del Consiglio nazionale in base alla popolazione svizzera',,,,,,,,,,,,None,768105,0,409039,13460,5363,95131,295085,4,18,none,,,0,,0,Initiative (Formulated Draft),57379,,Bauernbund des Kantons Zürich,,Electoral system | Parliament | none,53.25,390216,24.38,75.62,no,
547,Country,Switzerland,63,25/10/1903,Constitutional amendment on the sale of alcoholic beverages,Bundesbeschluss betreffend Abänderung des Art. 32bis der Bundesverfassung,Arrêté fédéral portant modification de l'article 32bis de la constitution fédérale,Decreto federale concernente la modificazione dell'articolo 32bis della Costituzione federale (Vendita al minuto delle bevande spiritose),,,,,,,,,,,,None,768105,0,407852,14674,8307,156777,228094,4,18,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Addictive substances | Hospitality | Crop production,53.09,384871,40.73,59.27,no,
548,Country,Switzerland,60,15/03/1903,Law on Swiss customs duty,Bundesgesetz betreffend den schweizerischen Zolltarif,Loi fédérale sur le tarif des douanes,Legge federale sulla tariffa doganale svizzera,,,,,,,,,,,,None,768125,0,562869,3529,2216,332001,225123,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),110467,,,,Customs | Agricultural policy | Economic policy,73.27,557124,59.59,40.41,yes,
