Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
135,Country,Switzerland,266,1977-03-13,"Citizen's initiative ""Restriction of naturalisation of foreigners""",Volksbegehren 'zur Beschränkung der Einbürgerungen' (5. Ueberfremdungsinitiative),Initiative populaire 'pour une limitation du nombre annuel des naturalisations' (5e initiative contre l'emprise étrangère),iniziativa popolare 'per una limitazione del numero annuale delle naturalizzazioni' (Quinta iniziativa contro l'inforestierimento),4,148,,0,32,,None,3785693,2272,1711973,24673,2245,568867,1116188,,22,none,,,0,,0,Initiative (Formulated Draft),70912,,Nationale Aktion gegen die Überfremdung von Volk und HeimatComité d'initiative de l'Action nationale contre l'emprise étrangère sur notre peuple et notre patrie,,Immigration policy | Citizenship | none,45.22,1685055,33.76,66.24,no,
136,Country,Switzerland,267,1977-03-13,"Citizen's initiative ""Reorganisation of referendum on international treaties""",Bundesbeschluss vom 17.12.1976 über die Neuordnung des Staatsvertragsreferendums:; Volksinitiative 'gegen die Beschränkung des Stimmrechts bei Staatsverträgen mit dem Ausland',Arrêté fédéral du 17.12.1976 instituant de nouvelles de nouvelles dispositions sur le référendum en matière de traités internationaux:; Initiative populaire 'contre la limitation du droit de vote lors de la conclusion de traités avec l'étranger',Decreto federale del 17.12.1976 sul referendum in materia di trattati internazionali:; Iniziativa popolare 'contro la limitazione del diritto di voto in materia di trattati internazionali',9,121,,0,35,,None,3785693,2272,1701901,69935,27519,351127,1158376,,22,linked,"Counter proposal to the citizen's initiative ""Reorganisation of referendum on international treaties""",94944,0,,0,Initiative (Formulated Draft),58502,,Nationale Aktion gegen die ÜberfremdungComite d'initiative de l'Action nationale contre l'emprise étrangère,,Referendum | Position on foreign policy | none,44.95,1604447,23.26,76.74,no,
137,Country,Switzerland,264,1976-12-05,"Citizen's initiative ""Reduction of the working week to forty hours""",Volksinitiative 'zur Einführung der 40-Stunden-Woche',Initiative populaire 'pour l'introduction de la semaine de travail de 40 heures',Iniziativa popolare 'per l'introduzione della settimana lavorativa di 40 ore',9,113,,0,32,,None,3772466,0,1703499,15309,2140,370228,1315822,,22,none,,,0,,0,Initiative (Formulated Draft),54227,,Progressive Organisationen der Schweiz (POCH)Organisations progessistes de Suisse (POCH),,Working hours | none | none,45.15,1686050,21.96,78.04,no,
138,Country,Switzerland,261,1976-09-26,"Citizen's initiative ""Compulsory third-party insurance for motor vehicles and bicycles""",Volksbegehren zur Einführung einer Haftpflichtversicherung für Motorfahrzeuge und Fahrräder durch den Bund,Initiative populaire en vue de l'introduction par la Confédération d'une assurance responsabilité civile pour les véhicules à moteurs et les cycles,Iniziativa popolare intesa all'introduzione da parte della Confederazione di un'assicurazione di responsabilità civile per autoveicoli e biciclette,32,110,,0,37,,None,3766161,0,1263198,20543,1355,301587,939713,,22,none,,,0,,0,Initiative (Formulated Draft),62537,,Schweizerischer Verband des Personals öffentlicher DiensteFédération suisse du personnel des services publics,,Road transport | none | none,33.54,1241300,24.3,75.7,no,
139,Country,Switzerland,256,1976-03-21,"Citizen's initiative ""Reform of taxes (fairer taxes and abolition of tax privileges)""",Volksbegehren für gerechtere Besteuerung und die Abschaffung der Steuerprivilegien,Initiative populaire fédérale en faveur d'une imposition plus équitable et de l'abolition des privilèges fiscaux,Iniziativa popolare in favore di una più equa imposizione fiscale e dell'abolizione dei privilegi fiscali,14,86,,1,32,,None,3750162,0,1474085,53291,1911,599053,819830,,,none,,,0,,0,Initiative (General Suggestion),55669,,Landesring der UnabhängigenAlliance des Indépendants,,Tax policy | none | none,39.31,1418883,42.22,57.78,no,
140,Country,Switzerland,255,1976-03-21,"Citizen's initiative ""For workers' participation in decision-making""",Bundesbeschluss vom 04.10.1974 betreffend das Volksbegehren über die Mitbestimmung,Arrêté fédéral du 04.10.1974 concernant l'initiative populaire sur la participation,Decreto federale del 04.10.1974 concernente l'iniziativa popolare sulla partecipazione,72,75,,6,16,,None,3750162,0,1479405,15198,6248,472094,966140,,22,linked,"Counter proposal to the citizen's initiative ""For workers participation in decision-making""",19725,0,,0,Initiative (Formulated Draft),162052,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,Industrial relations | none | none,39.45,1457959,32.82,67.18,no,
141,Country,Switzerland,245,1974-12-08,Citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,Bundesbeschluss vom 22.03.1974 über das Volksbegehren für die soziale Krankenversicherung und die Aenderung der Bundesverfassung auf dem Gebiet der Kranken-  Unfall- und Mutterschaftsversicherung,Arrêté fédéral du 22.03.1974 concernant l'initiative populaire pour une meilleure assurance-maladie et le revision de la constitution en matière d'assurance-maladie  accidents et maternité,Decreto federale del 22.03.1974 concernente l'iniziativa popolare per l'istituzione di un'assicurazione sociale contro le malattie e la modifica della Costituzione federale in materia d'assicurazione malattie  infortuni e maternità,15,93,,1,25,,None,3706105,0,1472162,19731,14094,384155,1010103,,22,linked,Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,,0,,0,Initiative (Formulated Draft),88424,,Sozialdemokratische ParteiParti socialiste suisse,,Health and accident insurance | none | none,39.72,1438337,27.55,72.45,no,
142,Country,Switzerland,242,1974-10-20,"Citizen's initiative ""Reduction in number of foreigners"" ",Volksbegehren gegen die Ueberfremdung und Uebervölkerung der Schweiz,Initiative populaire contre l'emprise étrangère et le surpeuplement de la Suisse,Iniziativa popolare contro l'inforestierimento e la sovrappopulazione della Svizzera,4,121,,0,31,,None,3702498,0,2604051,28338,5190,878891,1691632,,22,none,,,0,,0,Initiative (Formulated Draft),68362,,Nationale Aktion gegen die ÜberfremdungComite d'initiative de l'Action nationale contre l'emprise étrangère,,Immigration policy | none | none,70.33,2570523,34.19,65.81,no,
143,Country,Switzerland,232,1972-12-03,Citizen's initiative for a real old age and sickness pension and amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance,Bundesbeschluss vom 30.06.1972 betreffend das Volksbegehren für eine wirkliche Volkspension und die Aenderung der Bundesverfassung auf dem Gebiete der Alters-  Hinterlassenen- und Invalidenvorsorge,Arrêté fédéral du 30.06.1972 concernant l'initiative populaire pour une véritable retraite populaire et la revision de la constitution en matière de prévoyance-vieillesse  survivants et invalidité,Decreto federale del 30.06.1972 concernente l'iniziativa popolare 'Per vere pensioni popolari' e la revisione della Costituzione federale in materia di previdenza per la vecchiaia  i superstiti e l'invalidità,7,132,,0,30,,None,3628891,0,1921226,20837,15614,294511,1481488,,22,linked,"Counter proposal to the citizen's initiative ""For a real old age and sickness pension"" (amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance)",,0,,0,Initiative (Formulated Draft),58085,,Partei der ArbeitParti Suisse du travail,,Pension insurance | Occupational benefits provision | none,52.93,1884775,16.58,83.42,no,
144,Country,Switzerland,231,1972-09-24,Citizen's initiative for increased control of arms industry and prohibition of arms exports,Volksbegehren betreffend vermehrte Rüstungskontrolle und ein Waffenausfuhrverbot,Initiative populaire pour un contrôle renforcé des industries d'armement et l'interdiction d'exportation d'armes,Iniziativa popolare per un controllo rinforzato dell'industria d'armamento ed il divieto d'esportazioni d'armi,15,123,,0,31,,None,3620937,0,1198239,18598,1762,585046,592833,7,15,none,,,0,,0,Initiative (Formulated Draft),53457,,Initiativkomitee für vermehrte Rüstungskontrolle und ein WaffenausfuhrverbotComité d'initiative pour un contrôle renforcé des industries d'armement et pour l'interdiction d'exportation d'armes,,Arms | Foreign trade policy | none,33.34,1177879,49.67,50.33,no,
145,Country,Switzerland,227,1972-03-05,"Citizen's initiative ""Promotion of housing construction""",Bundesbeschluss vom 17.12.1971 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34sexies über den Wohnungsbau und betreffend das Volksbegehren zur Bildung eines Wohnbaufonds (Denner-Initiative),Arrêté fédéral du 17.12.1971 portant insertion dans la constitution fédérale d'un article 34sexies sur la construction de logements et concernant l'initiative populaire en vue de la création d'un fonds pour la construction de logements (initiative Denner),Decreto federale del 17.12.1971 concernente l'inserzione nella Costituzione federale d'un nuovo articolo 34sexies sulla costruzione di alloggi nonchè l'iniziativa popolare per l'istituzione di un fondo nazionale per la costruzione di alloggi (Iniziativa Denner),0,131,,0,38,,None,3600759,0,1285893,26974,14427,360262,835315,,22,linked,"Counter proposal to the citizen's initiative ""Promotion of housing construction""",,0,,0,Initiative (Formulated Draft),59003,,Firma Denner AGMaison Denner S.A,,"Building of residential housing, property ownership | none | none",35.7,1244492,30.13,69.87,no,
146,Country,Switzerland,222,1970-09-27,Citizen's initiative for the right to housing and better protection of families,Volksbegehren für das Recht auf Wohnung und den Ausbau des Familienschutzes,Initiative pour le droit au logement et le développement de la protection de la famille,Iniziativa per il diritto all'abitazione e la protezione della famiglia,,,,,,,None,1648062,0,722070,16420,1192,344640,359818,8,14,none,,,0,,0,Initiative (Formulated Draft),83526,,Aktionskomitee Lausanne,,Tenancy issues | Family policy | Fundamental rights,43.81,704458,48.92,51.08,no,
147,Country,Switzerland,220,1970-06-07,"Citizen's initiative ""Reduction of number of foreigners""",Volksbegehren gegen die Ueberfremdung,Initiative populaire contre l'emprise étrangère,Iniziativa popolare contro l'inforestierimento,,,,,,,None,1641777,0,1226658,11740,2557,557517,654844,7,15,none,,,0,,0,Initiative (Formulated Draft),70292,,Nationale Aktion,,Immigration policy | Employment policy | none,74.72,1212361,45.99,54.01,no,
148,Country,Switzerland,214,1967-07-02,Citizen's initiative against land speculation,Volksbegehren gegen die Bodenspekulation,Initiative contre la spéculation foncière,Iniziativa contro la speculazione fondiaria,,,,,,,None,1591621,0,604472,13062,1116,192991,397303,1,21,none,,,0,,0,Initiative (Formulated Draft),131152,,Sozialdemokratische ParteiParti socialiste suisse,,Land law | none | none,37.97,590294,32.69,67.31,no,
149,Country,Switzerland,213,1966-10-16,"Citizen's initiative ""Fight against alcoholism""",Volksbegehren zur Bekämpfung des Alkoholismus,Initiative relative à la lutte contre l'alcoolisme,Iniziativa sulla lotta contro l'alcolismo,,,,,,,None,1580573,0,759370,12697,1164,174242,571267,,,none,,,0,,0,Initiative (General Suggestion),51475,,Landesring der UnabhängigenAlliance des Indépendants,,Addictive substances | Indirect taxation | Pension insurance,48.04,745509,23.37,76.63,no,
150,Country,Switzerland,203,1963-05-26,"Citizen's initiative ""Right of Swiss citizens to decide whether the Swiss army should have nuclear weapons""",Volksbegehren für das Entscheidungsrecht des Volkes über die Ausrüstung der schweizerischen Armee mit Atomwaffen,Initiative populaire sur le droit du peuple de décider de l'équipement de l'armée suisse en armes atomiques,Iniziativa popolare diritto di risolvere circa l'equipaggiamento dell'esercito svizzero con armi nucleari,,,,,,,None,1523595,0,743469,16783,1387,274061,451238,4.5,17.5,none,,,0,,0,Initiative (Formulated Draft),63565,,Sozialdemokratische ParteiParti socialiste suisse,,Arms | Referendum | Legislative procedure,48.79,725299,37.79,62.21,no,
151,Country,Switzerland,199,1962-04-01,"Citizen's initiative ""Ban on nuclear weapons""",Volksbegehren für ein Verbot von Atomwaffen,Initiative populaire pour l'interdiction des armes atomiques,Iniziativa popolare per la proibizione delle armi nucleari,,,,,,,None,1510038,0,839590,14003,1554,286895,537138,4,18,none,,,0,,0,Initiative (Formulated Draft),72795,,Schweizer Bewegung gegen atomare Aufrüstung,,Arms | none | none,55.59,824033,34.82,65.18,no,
152,Country,Switzerland,197,1961-10-22,"Citizen's initiative ""Introduction of legislative initiative at the federal level""",Volksbegehren für die Einführung der Gesetzesinitiative im Bund,Initiative populaire tendant à l'institution de l'initiative législative en matière fédérale,Iniziativa popolare intesa a istituire l'inizativa legislativa negli affari federali,,,,,,,None,1502509,0,602517,21082,1148,170842,409445,,22,none,,,0,,0,Initiative (Formulated Draft),101891,,Sozialdemokratische ParteiParti socialiste suisse,,Citizen's initiatives | Legislative procedure | none,40.09,580287,29.44,70.56,no,
153,Country,Switzerland,188,1958-10-26,"Citizen's initiative ""Forty-four hour working week""",Volksbegehren für die 44-Stundenwoche (Arbeitszeitverkürzung),Initiative populaire pour l'introduction de la semaine de 44 heures (Réduction de la durée du travail),Iniziativa popolare Introduzione della settimana di 44 ore (Riduzione delle ore lavorative),,,,,,,None,1476963,0,913333,9112,1613,315790,586818,0.5,21.5,none,,,0,,0,Initiative (Formulated Draft),60449,,Landesring der UnabhängigenAlliance des Indépendants,,Working hours | none | none,61.84,902608,34.99,65.01,no,
154,Country,Switzerland,184,1958-01-26,"Citizen's initiative ""Against the misuse of economic power""",Volksbegehren gegen den Missbrauch wirtschaftlicher Macht,Initiative populaire contre l'abus de la puissance économique,Iniziativa popolare contro l'abuso della potenza economica,,,,,,,None,1469853,0,761393,17409,1365,192297,550322,,22,none,,,0,,0,Initiative (Formulated Draft),60357,,Landesring der UnabhängigenAlliance des Indépendants,,Competition policy | none | none,51.79,742619,25.89,74.11,no,
155,Country,Switzerland,176,1956-05-13,"Citizen's initiative ""Distribution of concessions for the use of hydro-power""",Volksbegehren zur Erweiterung der Volksrechte bei der Erteilung von Wasserrechtskonzessionen durch den Bund,Initiative pour une extension des droits populaires lors de l'octroi par la Confédération de concessions pour l'utilisation de forces hydrauliques,Iniziativa per un'estensione dei diritti del popolo nel caso di rilascio  da parte della Confederazione  die concessioni sull'utilizzazione delle forze idrauliche,,,,,,,None,1454269,0,757492,35070,1369,266222,454831,2.5,19.5,none,,,0,,0,Initiative (Formulated Draft),59333,,Ueberparteiliches Ad-hoc-Komitee (Naturschützer),,Hydro-electric power | Referendum | Protection of nature and cultural heritage,52.09,721053,36.92,63.08,no,
156,Country,Switzerland,174,1955-03-13,"Citizen's initiative ""Protection of consumers and tenants (continuation of price control)""",Bundesbeschluss vom 22.12.1954 über die Volksinitiative 'zum Schutz der Mieter und Konsumenten (Weiterführung der Preiskontrolle)',Arrêté fédéral du 22.12.1954 concernant l'initiative populaire concernant la protection des locataires et des consommateurs (initiative et contre-projet),Decreto popolare del 22.12.1954 sull'iniziativa popolare 'per la protezione dei locatari e dei consumatori' (Iniziativa e controprogetto),,,,,,,None,1447187,0,803692,16515,5675,392588,381130,7,15,linked,"Counter proposal to citizen's initiative ""Protection of consumers and tenants (continuation of price control)""",,0,,0,Initiative (Formulated Draft),202549,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,Pricing policy | Tenancy issues | Consumer protection,55.52,781502,50.74,49.26,no,
157,Country,Switzerland,173,1954-12-05,"Citizen's initiative ""Protection of rivers and the Rheinau bequest""",Volksbegehren zum Schutze der Stromlandschaft Rheinfall-Rheinau,Initiative populaire pour la protection des sites depuis la chute du Rhin jusqu'à Rheinau,Iniziativa popolare per la protezione del paesaggio fluviale tra la cascata del Reno e Rheinau,,,,,,,None,1442668,0,748439,13995,1000,229114,504330,1,21,none,,,0,,0,Initiative (Formulated Draft),59988,,Ueberparteiliches Ad-hoc-Komitee (Naturschützer),,Hydro-electric power | Protection of nature and cultural heritage | none,51.88,733444,31.24,68.76,no,
158,Country,Switzerland,161,1952-05-18,"Citizen's initiative ""Taxation of public enterprises for the benefit of national defence""",Volksbegehren zur Rüstungsfinanzierung und zum Schutze der sozialen Errungenschaften,Initiative populaire pour le financement des armements et pour la sauvegarde des conquêtes sociales,Iniziativa popolare concernente il finanziamento degli armamenti e la salvaguardia delle conquiste sociali,,,,,,,None,1418727,0,764841,12869,1376,328341,422255,4,18,none,,,0,,0,Initiative (Formulated Draft),147092,,Sozialdemokratische ParteiParti socialiste suisse,,Arms | Direct taxation | Social security,53.9,750596,43.74,56.26,no,
159,Country,Switzerland,160,1952-04-20,"Citizen's initiative ""Federal sales tax""",Volksbegehren betreffend die Umsatzsteuern,Initiative populaire concernant les impôts sur le chiffre d'affaires,Iniziativa popolare concernente le imposte sulla cifra d'affari,,,,,,,None,1417918,0,696494,13769,1360,129243,552122,,22,none,,,0,,0,Initiative (Formulated Draft),88025,,Partei der ArbeitParti Suisse du travail,,Indirect taxation | none | none,49.11,681365,18.97,81.03,no,
160,Country,Switzerland,157,1951-07-08,"Citizen's initiative ""Taxation of public enterprises for the benefit of national defence""",Eidgenössische Volksinitiative 'zur Heranziehung der öffentlichen Unternehmungen zu einem Beitrag an die Kosten der Landesverteidigung',Initiative populaire concernant la participation des entreprises de droit public aux dépenses pour la défense nationale,Iniziativa popolare per 'la partecipazione delle imprese di diritto pubblico alle spese per la difesa nazionale',,,,,,,None,1409091,0,529498,20836,1080,165713,341869,,,none,,,0,,0,Initiative (General Suggestion),50945,,Trumpf Buur  Freisinnige  siehe auch Sten. Bull. 1950 630,,Direct taxation | Armed forces - general | none,37.58,507582,32.65,67.35,no,
161,Country,Switzerland,156,1951-04-15,"Citizen's initiative ""Guarantee of purchasing power and full employment""",Bundesbeschluss über das Volksbegehren betreffend die Revision des Artikels 39 der Bundesverfassung (Freigeldinitiative),Arrêté fédéral sur l'initiative populaire concernant la revision de l'art. 39 de la constitution (initiative pour la monnaie franche),Decreto Federale che accerta il risultato della votazione popolare del  15 aprile 1951 sulla revisione dell articolo 39 della Costituzione federale (Emissione dei biglietti di banca),,,,,,,None,1408275,0,747604,21676,5399,88486,622284,,22,linked,"Counter proposal to the citizen's initiative ""Guarantee of purchasing power and full employment""",,0,,0,Initiative (Formulated Draft),89553,,Liberalsozialistische Partei,,Monetary policy | National bank | none,53.09,710770,12.45,87.55,no,
162,Country,Switzerland,152,1950-10-01,"Citizen's initiative ""Protecting the land and work by preventing speculation""",Eidgenössische Volksinitiative 'zum Schutz des Bodens und der Arbeit durch Verhinderung der Spekulation',Initiative populaire visant la protection du sol et du travail par des mesures contre la spéculation,Iniziativa popolare per la protezione del suolo e del lavoro con provvedimenti contro la speculazione,,,,,,,None,1400891,0,611803,22607,1311,158794,429091,,22,none,,,0,,0,Initiative (Formulated Draft),54698,,Schweizer Bauernheimat-Bewegung,,Land law | Agricultural policy | none,43.66,587885,27.01,72.99,no,
163,Country,Switzerland,148,1949-09-11,"Citizen's initiative ""Return to direct democracy"" (regulation on urgent affairs)",Eidgenössische Volksinitiative 'für die Rückkehr zur direkten Demokratie',Initiative populaire pour le retour à la démocratie directe,Iniziativa popolare 'per il ritorno alla democrazia diretta (clausola d'urgenza)',,,,,,,None,1389856,0,590950,35655,1941,280755,272599,12.5,9.5,none,,,0,,0,Initiative (Formulated Draft),55796,,Waadtländer Freisinnige und Liberale,,"Legislative procedure | Government, administration | Referendum",42.52,553354,50.74,49.26,yes,
164,Country,Switzerland,142,1947-05-18,"Citizen's initiative ""Economic reform and employment legislation""",Bundesbeschluss über das Volksbegehren betreffend 'Wirtschaftsreform und Rechte der Arbeit',Arrêté fédéral sur la demande d'initiative concernant 'la réforme économique et les droits du travai',Decreto federale sull'iniziativa popolare concernente 'la riforma economica e diritti del lavoro',,,,,,,None,1364771,0,811088,24694,2734,244415,539244,,22,none,,,0,,0,Initiative (Formulated Draft),161477,,Sozialdemokratische ParteiParti socialiste suisse,,Economic policy | Employment | none,59.43,783660,31.19,68.81,no,
165,Country,Switzerland,141,1946-12-08,"Citizen's initiative ""Right to work""",Bundesbeschluss über das Volksbegehren betreffend das 'Recht auf Arbeit',Arrêté fédéral sur la demande d'initiative concernant le 'droit au travail',Decreto federale sull'iniziativa popolare concernente concernente il 'diritto al lavoro',,,,,,,None,1359392,0,681489,28852,2479,124792,525366,,22,none,,,0,,0,Initiative (Formulated Draft),73292,,Landesring der UnabhängigenAlliance des Indépendants,,Employment policy | Unemployment insurance | Fundamental rights,50.13,650158,19.19,80.81,no,
166,Country,Switzerland,136,1942-05-03,"Citizen's initiative ""Reorganisation of the National Council""",Eidgenössische Volksinitiative 'für die Reorganisation des Nationalrates',Initiative populaire concernant la réorganisation du Conseil national,Iniziativa popolare 'per la riorganizzazione del Consiglio nazionale',,,,,,,None,1283487,0,660818,30543,1825,219629,408821,0.5,21.5,none,,,0,,0,Initiative (Formulated Draft),75740,,Landesring der UnabhängigenAlliance des Indépendants,,Parliament | Electoral system | none,51.49,628450,34.95,65.05,no,
167,Country,Switzerland,135,1942-01-25,"Citizen's initiative ""Popular election of the Federal Council and increase in the number of members""",Eidgenössische Volksinitiative 'für die Wahl des Bundesrates durch das Volk und die Erhöhung der Mitgliederzahl',Initiative populaire tendant à l'augmentation du nombre des membres du Conseil fédéral et à son élection par le peuple,Iniziativa popolare 'per l'aumento del numero dei membri del Consiglio federale e l'elezione di esso da parte del popolo',,,,,,,None,1278688,0,792424,13381,3311,251605,524127,,22,none,,,0,,0,Initiative (Formulated Draft),157081,,Sozialdemokratische ParteiParti socialiste suisse,,"Government, administration | Electoral system | Citizens' rights",61.97,775732,32.43,67.57,no,
168,Country,Switzerland,134,1941-03-09,"Citizen's initiative ""Reform of liquor legislation""",Eidgenössische Volksinitiative 'zur Neuordnung des Alkoholwesens',Initiative populaire pour la revision des articles 31  32bis et 32quater de la constitution fédérale ,Iniziativa popolare 'per la revisione del regime degli alcool.',,,,,,,None,1261361,0,774843,14681,2422,304867,452873,,,none,,,0,,0,Initiative (General Suggestion),129584,,Innerschweizer Bauernbund,,Addictive substances | Crop production | none,61.43,757740,40.23,59.77,no,
169,Country,Switzerland,129,1939-01-22,"Citizen's initiative ""Maintaining and protecting the constitutional rights of citizens"" (extension of constitutional jurisdiction)",Eidgenössische Volksinitiative 'zur Wahrung der verfassungsmässigen Rechte der Bürger (Erweiterung der Verfassungsgerichtsbarkeit)',Initiative populaire pour l'extension de la juridiction constitutionnelle (revision de l'article 113 de la constitution),Iniziativa popolare 'per l'estensione della giurisdizione costituzionale',,,,,,,None,1223536,0,569561,77687,3211,141323,347340,,22,none,,,0,,0,Initiative (Formulated Draft),58690,,Ad-hoc-KomiteeComité ad-hoc,,Courts | Legislative procedure | Referendum,46.54,488663,28.92,71.08,no,
170,Country,Switzerland,125,1938-02-20,"Citizen's initiative ""Emergency law and maintenance and protection of people's rights"" (submission of emergency law to optional referendum)",Eidgenössische Volksinitiative 'betreffend die dringlichen Bundesbeschlüsse und die Wahrung der demokratischen Volksrechte' ,Initiative populaire tendant à modifier le référendum facultatif (revision de l'article 89  2e alinéa  de la constitution),Iniziativa popolare concernente la clausola d'urgenza e diritti democratici (referendum facoltativo),,,,,,,None,1216756,0,661022,63433,21756,87638,488195,,22,none,,,0,,0,Initiative (Formulated Draft),53416,,Kommunistische ParteiParti communiste,,Parliament | Legislative procedure | Referendum,54.33,575833,15.22,84.78,no,
171,Country,Switzerland,126,1938-02-20,"Citizen's initiative ""Private arms industry""",Bundesbeschluss über die Volksinitiative 'Private Rüstungsindustrie',Arrêté fédéral concernant l'initiative populaire contre l'industrie privée des armements,Decreto federale sull'iniziativa popolare concernente 'l'industria privata degli armamenti',,,,,,,None,1216756,0,661022,52896,35542,65938,419013,,22,linked,"Counter proposal to the citizen's initiative ""Private arms industry""",,0,,0,Initiative (Formulated Draft),56848,,Europa-Union und Links-Pazifisten,,Arms | Structural policy | none,54.33,572581,13.6,86.4,no,
172,Country,Switzerland,123,1937-11-28,"Citizen's initiative ""Prohibition of freemasonry""",Eidgenössische Volksinitiative 'für ein Verbot der Freimaurerei',Initiative populaire concernant la revision partielle de l'article 56 de la constitution fédérale (interdiction des sociétés franc-maçonniques et associations similaires),Iniziativa popoplare 'per il divieto della massoneria e delle associazioni similari',,,,,,,None,1187637,0,783116,30578,2231,234980,515327,1,21,none,,,0,,0,Initiative (Formulated Draft),56238,,Schweizerische Heimatwehr  Faschistische Bewegung,,State security | Fundamental rights | none,65.94,750307,31.32,68.68,no,
173,Country,Switzerland,122,1935-09-08,"Citizen's initiative ""Total revision of the Constitution""",Eidgenössische Volksinitiative 'für eine Totalrevision der Bundesverfassung',Initiative populaire pour la revision totale de la constitution,Iniziativa popolare 'per la revisione totale della Costituzione',,,,,,,None,1193941,0,727063,17853,1497,196135,511578,,,none,,,0,,0,Constitutional Initiative (Total Revision),78050,,Diverse Frontisten und Jungkonservative,Volkinitiative zur Totalrevision der Bundesverfassung  also kein Ständemehr.,Constitution | none | none,60.9,707713,27.71,72.29,no,
174,Country,Switzerland,121,1935-06-02,"Citizen's initiative ""Measures against the economic crisis""",Eidgenössische Volksinitiative 'zur Bekämpfung der Wirtschaftskrise',Initiative populaire pour combattre la crise économique et ses effets,Iniziativa popolare per combattere la crisi economica e il disagio,,,,,,,None,1194129,0,1007285,12575,2043,425242,567425,5,17,none,,,0,,0,Initiative (Formulated Draft),334699,,Sozialdemokratische Partei  Schweizerischer Gewerkschaftsbund  Foederativverband  Christlichnationaler Gewerkschaftsbund  Schweizerischer Verband evangelischer ArbeitnehmerParti socialiste suisse  Union syndicale suisse,,Short-term economic policy | Employment policy | Monetary policy,84.34,992667,42.84,57.16,no,
175,Country,Switzerland,109,1929-05-12,"Citizen's initiative ""Legislative authority in the area of road traffic""",Eidgenössische Volksinitiative 'betreffend die Gesetzgebung über den Strassenverkehr',Initiative populaire concernant la circulation routière,Iniziativa popolare concernente la circolazione stradale,,,,,,,None,1075950,0,700279,29684,2163,248350,420082,3,19,none,,,0,,0,Initiative (Formulated Draft),51580,,Strassenverkehrsliga: ACS  Autogewerbe von Zürich,,Road transport | Intergovernmental relations | Indirect taxation,65.08,668432,37.15,62.85,no,
176,Country,Switzerland,110,1929-05-12,"Citizen's initiative ""Prohibition of spirits""",Volksbegehren für das Kantons- und Gemeindeverbotsrecht für gebrannte Wasser  die zum Genuss bestimmt sind,Initiative populaire concernant le droit des cantons et des communes d'interdire les boissons distillées,Iniziativa popolare concernente il diritto dei Cantoni e dei Comuni di proibire le bevande distillate,,,,,,,None,1075950,0,714510,18274,1718,226794,467724,0.5,21.5,none,,,0,,0,Initiative (Formulated Draft),154761,,Zentralstelle zur Bekämpfung des Alkoholismus,,Addictive substances | none | none,66.41,694518,32.65,67.35,no,
177,Country,Switzerland,107,1929-03-03,"Citizen's initiative ""Supply of cereals""",Bundesbeschluss über die Volksinitiative 'Getreideversorgung',Arrêté fédéral concernant l'initiative populaire visant l'insertion d'un article 23bis dans la constitution fédérale (approvisionnement du pays en blé),Decreto federale sull'iniziativa popolare 'per l'approvvigionamento della Svizzera con grano',,,,,,,None,1071934,0,720983,15926,9446,18487,672004,,22,linked,"Counter proposal to the citizen's initiative ""Supply of cereals""",,0,,0,Initiative (Formulated Draft),77062,,Schweizerischer Handels- und Industrieverein  Schweizerischer Gewerbeverband  Zentralverband schweizerischer Arbeitgeber-Organisationen,,Crop production | National economic supply | none,67.26,690491,2.68,97.32,no,
178,Country,Switzerland,106,1928-12-02,"Citizen's initiative ""Casinos""",Eidgenössische Volksinitiative 'Kursaalspiele (Spielbanken)',Initiative populaire portant modification de l'article 35 de la Constitution (initiative populaire en faveur du maintien des kursaals et de l'encouragement du tourisme en Suisse),Iniziativa popolare per il mantenimento dei Kursaal e per il promovimento delle industrie turistiche in Isvizzera,,,,,,,None,1067754,0,592849,20248,1678,296395,274528,14.5,7.5,none,,,0,,0,Initiative (Formulated Draft),131017,,Fremdenverkehrsverbände  Kursaalgesellschaften,,Structural policy | Lottery and gambling | none,55.52,570923,51.92,48.08,yes,
